Sample 01,Real,Azure,Raw prediction,LoRA prediction,LoRA+Prompt prediction
3,and passing final approach fix WAYBI 2600 feet that was checked.,And a passing language picks may be 2600 feet that was checked.,and passing for average peaks will be 2600 feet that was checked,and passing final approach pick swab 2600ft that was checked,and passing final approach pick swab 2600 feet that was checked
4,Heading Sel. Alt hold. Route 2 Activate,Outlook Excel out hole route 2 activate.,excel outfall root 2 activate,thanks llf route 2 activate,heading sel alt hold route 2 activate
5,Confirm,Confirm,confirm,confirm,confirm
6,Confirm,Confirm,awesome,confirm,confirm
7,LNAV available. And alt hold. Missed approach altitude is 6000 feet. ,Connect available and our home is approached. Our attitude is 6000 feet.,and if available and not hold miss approach altitude is 6 000 feet,air net available and ockhole miss approach aperture is 6000 feet,air net available and alt hold miss approach altitude it is 6000 feet
8,LNAV.  Thousand check,MF6000 checked.,7f 6000 checked,7f 6000 checked,7f 6000 checked
9,The next altitude is 1200. ,The next altitude is 1000. 200. ,next altitude is 1200m,and next altitude is 1200,and next altitude is 1200
10,Yes. Minus 700 check. ,"Yes, my son, check.",yes myself check,yes my 700 check,vs my 700 check
11,May I check is the right landing gear?,At Chase Building Gear.,that takes me to the lane i didn t give a,i ll check speed of the line ending gear,i ll check speed of the line ending gear
12,Down. Speedbreak.,Balance speed brick.,now on speed brick,down on speed break,down speedbrake
13,"30, green lights exterior lights, On. Landing Clearance.",30 green light extra. It's a on landing clearance.,30 green light extracts are on landing clearance,30 green light extra rights are on landing clearance,30 green light extract on landing clearance
14,Obtain Runway 18R. Landing checklist complete,Obtaining one and right my check is complete.,t in runway 18r main track is complete,update in runway 18r manjack is complete,update in runway 18r jet is complete
15,And 950 on profile.,"And uh, 950 on profile.",and 950 on profile,and 950 on profile,and 9 50 on profile
16,2 red 2 whites.,3828,283 whites,282 whites,283 whites
17,and stablized.,And stabilized.,and stabilized,and stabilized,and stabilized
18,And WAYBI final approach fix 2600 feet.,And maybe final push fix 2600 feet.,and maybe final push fix 2600 feet,and way be final approach fix 2600 feet advice apc,and way be final approach fix 2600 feet advice apc
19,Runway in sight. Joining downwind Runway 18R.,Probably Insight and joining Darwin Rahway want it right.,rally inside join darwin rally 18r,rally inside joining darwin rally 18r,rally inside joining downwind rally 18r
20,Busan Tower Singapore 616 runway in sight. Joining downwind runway 18R.,Busan Towers Singapore 616 runway inside Join Darwin. When we want it right?,busan tower singapore 616 bramway inside join bramway bramway 18 rides,busan tower singapore 616 runway inside joining downwind runway 18r,busan tower sx16 runway inside joining downwind runway 18r
21,Joining downwind runway 18R and to land runway 18R. Singapore 616.,"Actually joined WWE 1/8 right And uh, we had to land runway 1/8 right?",and clear join down runway 18r and clear to land runway 18r singapore 616,and cleared join downwind 18r and head to land runway 18r singapore 616,and cleared to join downwind 18r and head to land runway 18r singapore 616
22,Confirm,Confirm,fum fum,confirm,confirm
23,Execute confirm.,Execute confirm.,execute confirm,execute confirm,xq confirm
24,Heading Sel.,,i think so,exhale,exhale
25,and alt hold missed approach altitude is 6000,And who misapproached her? Dude is 6000,and out full miss approach already is 6000 feet,and alt 4 oo missed approach already due it s 6000 feet,alt hold missed approach already due 6000ft
26,Route 2 activated,How to activate it?,it s activated,roto activated,cleared to activate
27,Direct AB18R. Execute confirm,Direct payment one minute right execute confirm.,direct beam 1 minute right execute confirm,direct beam 1 minute right execute confirm,direct beam 1 minute right execute confirm
28,Confirm. LNAV available ,Cotton unless available.,awesome i have a billabong,confirm i have available,confirm i have available
29,Flaps at 30,Web set 30.,website 30,flaps at 30,flaps at 30
30,Down. Speedbreak.,Down speed brick.,down speed break,down speedbreak,down speedbrake
31,Flaps.,Flip,let s,flaps,flaps
32,Flaps.,flip.,flips,flaps,flaps
33,Flaps,Flips.,,lems,slams
34,30 green light exterior lights are on. Landing clearance.,30 green light exterior lights are on. Landing clearance.,30 green light exterior lights are on lighting clearance,30 greenlight exterior lights are on landing clearance,30 green light exterior lights are on landing clearance
35,8R. Obtain Runway 18R. Landing checklist complete,8R. I think you might want to write when I check this complex.,it right i think i know it right now check this is complete,update ramp 818r night checklist complete,18r update ramp at 18r night checklist complete
36,Add 4 whites. High. pitch down a bit.,"Add 4 whites, uh. Hi, pitch down a bit.",and 4 whites high push down a bit,and for whites high switch down a bit,55 and 4 whites high
Sample 04,,,,,
1,VS Check.,BS Check.,you guys check,yes check,ps check
2,1000 to go.,1000 to go.,1000 to go,1000 to go,1000 to go
3,"Busan Tower Singapore 616 Runway in sight, joining downwind runway 18R.","It was on Tower Singapore 616 runway Insight joining downwind runway 1/8, right.",busan tower singapore 616 runway in sight joining downwind runway 18r,u san tower singapore 616 runway in sight joining downwind runway 18r,busan tower singapore 616 runway in sight joining downwind runway 18 right
4,We are clear to land.,We are.,we are clear to learn,we are cleared to land,we are cleared to land
5,Alt Hold.,I'll hold.,i ll hold,hold,alt hold
6,Heading Sel,Heading Cell,heading cell,heading zell,heading sel
7,Comfirm.,Confirm.,confirm,confirm,confirm
8,Route 2 Activated.,Route 2 activated.,root 2 activated,route 2 activated,route 2 activated
9,Direct AB18R,Direct a beam 18 Wright.,derek a beam 18 right,direct ab18r,direct beam 18r
10,6000 feet checked.,6000 feet checked.,6 000 feet checked,6 000 feet checked,6000 feet checked
11,Speed check. Flaps 30.,Speed check. Flap 30.,speed check flips 30,speed check flaps 30,speed check flaps 30
12,Flaps at 30,Put up set 30.,flaps at 30,flaps at 30,flaps at 30
13,Roger landing checklist below the line. landing gear.,Roger lending checklist below the line lending gear.,roger landing checklist below the line landing gear,roger landing checklist below the line landing gear,roger landing checklist below the line landing gear
14,Speedbrake.,Speed brake.,speed break,speed break,speedbrake
15,Speedbrake.,Speed brake.,speed break,speed break,speedbrake
16,Flaps.,Flaps.,flips,flaps,flaps
17,30 green lights Exterior lights are on.,30 green lights Exterior lights are on.,30 green lights exterior lights are on,30 green lights x zero lights are on,30 green lights x zero lights are on
18,Check. Obtain Runway 18R Land.,Check. Runway 18 Ritalin. Land.,check obtain runway 18r,check obtained runway 18r lens,check obtain runway 18r lens
19,1000 stabilized.,1000 stabilized.,1 000 stabilized,1000 stabilized,1000 stabilized
20,500 feet stabilized.,500 feet stabilized.,500 feet stabilized,500 feet stabilized,500 feet stabilized
21,Captain,Captain.,,captain,captain
22,"Roger, I have control.","Roger, I have control.",roger i have control,roger i have control,roger i have control
23,"Roger, I am ready.","Roger, I am ready.",roger i am ready,roger i am ready,roger i am ready
24,Check VS check.,Check VS check.,check vs check,check vs check,check vs check
25,"Busan Tower Singapore 616 runway in sight, joining downwind runway 18R.",Busan Tower Singapore 616 runway Insight joining downwind runway 1/8 right?,busan tower singapore 616 runway in sight joining downwind runway 18r,busan tower singapore 616 runway in sight joining downwind runway 18r,busan tower singapore 616 runway in sight joining downwind runway 18 right
26,Clear to land Runway 18R. Singapore 616.,"Clear to land runway 1/8 right, Singapore 616.",clear to land runway 18r singapore 616,cleared to land runway 18r singapore 616,cleared to land runway 18r singapore 616
27,Alt Hold.,Out hold.,out hold,out hold,alt hold
28,Confirm.,Confirm.,confirm,confirm,confirm
29,Route 2 Activated.,Route 2 activated.,route 2 activated,route 2 activated,route 2 activated
30,Confirm.,Confirm.,confirm,confirm,confirm
31,6000 feet checked.,6000 feet checked.,6000 feet checked,6000 feet checked,6000 feet checked
32,Speed check. Flap 30.,Speed check.,speed check flaps 30,speed check flaps 30,speed check flaps 30
33,A Landing checklist below the line.,A landing checklist below the line.,a landing checklist below the line,a landing checklist below the line,a landing checklist below the line
34,Speedbrake.,Speed brake.,speed break,speed break,speedbrake
35,MCP Speed. Heading Sel. VS.,MCP Speed heading cell VS.,mcp speed heading cell vs,mcp speed heading cell vs,mcp speed heading sel vs
36,Flaps.,Flaps.,let s,flaps,flaps
37,And exterior lights are on. And landing clearance.,And exterior lights are on. And lending clearance.,and exterior lights are on and landing clearance,and exterior lights are on landing clearance,and exterior lights are on landing clearance
38,Obtain runway 18R. Landing checklist complete.,Obtain runway 1/8 right lending check is complete.,obtain runway 18r landing checklist complete,obtained runway 18r landing checklist complete,obtained runway 18r landing checklist complete
39,4 whites,4 whites.,4 whites,4 whites,4 whites
40,"2 Reds, 2 whites.","Two Reds, 2 whites.",two reds two whites,2 reds 2 whites,2 reds 2 whites
41,Stabilized.,Stabilized.,stabilized,stabilized,stabilized
42,Low speed. Speedbrake up.,"Low speed, uh, speed breaks up.",no speed breaks up,no speed speed breaks up,no speed speedbrakes up
43,Reversers normal. Autobrake Disarm.,"Reverse normal. Otterbeck, Disarm.",reverse normal other right this arm,reverse normal auto brake disarm,reverse normal auto brake disarm
44,60 knots.,60 oughts.,60 knots,16 odds,16 knots
Sample 05,,,,,
1,"Roger, I have control.","Roger, I have control.",roger i have control,roger i have control,roger i have control
2,"Roger, I am ready.","Roger, I am ready.",roger i am ready,roger i am ready,roger i am ready
3,You have control. VS check,You have control of. VS check.,you have control of es check,you have control of vs check,you have control vs check
4,"Roger, Captain.","Roger, Captain.",roger captain,roger captain,roger captain
5,Tailwind is pretty strong. 10 knots later during the circling.,Take Witness. Pretty strong. 10 knots later during the circling.,tailwind is pretty strong 10 knots later during the circling,tailwind is pretty strong 10 knots later during the circling,tailwind is pretty strong 10 knots later during the circling
6,1000 to go.,1000 to go.,that ll do it,1000 to go,1000 to go
7,"Busan Tower, Singapore 616. Runway in sight.","Busan Tower, Singapore, 6/16. Runway-insight.",busan tower singapore 616 runway inside join us,busan tower singapore 616 runway in sight,busan tower singapore 616 runway in sight join
8,"Say again, Singapore 8616.","Say again, Singapore, 8616.",see you again singapore 8616,say again singapore 8616,say again singapore 8616
9,"Busan Tower, Singapore 616.","Busan Tower, Singapore, 616.",busan tower singapore 616,busan tower singapore 616,busan tower singapore 616
10,Visual Runway 18R. Joining downwind Runway 18R,"Visual Runway 1/8, right? Joining downwind. R18 right.",visual runway 18r joining downwind runway 18r,visual runway 18r joining danwin runway 18r,visual runway 18 right joining downwind runway 18 right
11,Thousand Seven. Alt Hold. ,1007. Alhol.,1007 i ll hold,2007 alt hold,1007 alt hold
12,Execute Confirm. Execute. ,"Execute, confirm, execute.",execute confirm execute,execute confirm execute,execute confirm execute
13,Route 2 Activated ,Bluetooth activated.,route 2 activated,route 2 activated,route 2 activated
14,Execute Confirm?,Execute confirm.,execute confirm,execute confirm,execute confirm
15,Confirm.,Confirm.,confirm,confirm,confirm
16,LNAV Available,Are available.,i ll never available,lnav available,lnav available
17,6000 feet check,6000 feet check,6000 feet check,6000 feet check,6000 feet check
18,Flaps 30.,Flights 30.,flap steady,flaps 30,flaps 30
19,VS -700 checked.,VS -700 checked.,vs 700 checked,vs minus 700 checked,vs minus 700 checked
20,Roger Landing checklist. Altimeters.,Roger Landing checklist. Altimeters.,roger landing checklist altimeters,roger landing checklist altimeters,roger landing checklist altimeters
21,Altimeters.,Altimeters.,altimeters,altimeters,altimeters
22,All below the line. Landing gear.,I'll be loading landing gear.,oh below the line landing gear,all below the line landing gear,all below the line landing gear
23,And down down speedbrakes.,And down down speed brakes.,and down down speed brakes,and down down speed breaks,and down down speedbrakes
24,Flaps.,Flaps.,flips,flaps,flaps
25,30. Green light. ,Dirty green light.,30 green light,30 green light,30 green light
26,Landing Clearence. Obtain Runway 18R. ,On Lenkira's obtained runway 1 and right.,then clearance obtained runway 18r,landing clearance obtained runway 18r landing,landing clearance obtained runway 18r landing
27,Check,Check.,check,check,check
28,Roger,Roger,roger,roger,roger
29,Altitude 700.,Altitude 700.,altitude 700,altitude 700,altitude 700
30,Target,Target.,target,target,target
31,450,450,450,450,450
32,Different Runway. This is. ,different runway. This is,different runway this is one,different runway this is one,different runway this is one
33,"Go around, ","Go a round, ",go around,go around,go around
34,Roger I'm Ready.,"Roger, I'm ready.",roger i m ready,roger i am ready,o roger i m ready
35,VS check. You have control.,VS check you have control.,vs check you have control,vs check you have control,vs check you have control
36,Roger Captain.,Roger Captain.,roger captain,roger captain,roger captain
37,1000 to go.,1000 to go.,1000 to go,touch and to go,1000 to go
38,"Busan Tower, Singapore 616. Runway in sight,",Busan Tower Singapore 616 runway inside.,busan tower singapore 616 runway inside,busan tower singapore 616 runway inside,busan tower singapore 616 runway in sight
39,Alt Hold.,Alcohol.,alt halt,alt hold,alt hold
40,Heading Sel. Alt Hold. Roger. Activate Route 2.,"Heading South, I'll hold. Roger. Activate Route 2.",heading cell i ll hold roger activate route 2,heading south i ll hold roger activate route 2,heading sel alt hold roger activate route 2
41,Execute Confirm,Execute confirm.,execute confirm,execute confirm,execute confirm
42,Route 2 Activated ,roto activated.,rotu activated,route 2 activated,route 2 activated
43,Roger.,Roger.,roger,roger,roger
44,Execute Confirm.,Execute confirm.,execute confirm,execute confirm,execute confirm
45,6000 checked.,6000 checked.,6000 checked,6000 checked,6000 checked
46,Flaps 30.,Flap 30.,flaps 30,flaps 30,flaps 30
47,Flaps at 30.,Flaps at 30.,flaps at 30,flaps at 30,flaps at 30
48,Landing checklist below the line. Landing gear.,Anicheva is below the line. Landing gear.,and it s below the line landing gear,landing surface below the line landing gear,landing surface below the line landing gear
49,Down speedbreaks.,Down speed brakes.,down speed brakes,down speed breaks,down speedbrakes
50,VS -700 check. Speedbreaks armed. Flaps.,Yes -700 check. Speedwag's arms flaps.,vs minus 700 check speed brakes armed flaps,ves minus 700 check speedbrakes armed flaps,vs minus 700 check speedbrakes armed flaps
51,30. green light. exterior lights On.,30 green light exterior lights On,30 green light exterior lights on,30 green light exterior lights on,30 green light exterior lights on
52,Roger.,Roger,roger,roger,roger
53,BCTL2 1200. We are high.,Miss TL 2. 1200. We are high.,bctl 2 1200 we are high,bctl2 1200 we are high,bctl 2 1200 we are high
54,BCTL3. Target is 950 feet.,BCTL 3. Target is 950 feet.,bctl 3 target is 950 feet,bctl3 target is 950 feet,bctl3 target is 950 feet
55,1000 feet check.,Pause and check.,100 feet check,as in feed check,as and feed check
56,BCTL4 700 feet.,BCT of four 700 feet.,bctl 4 700 feet,bctl4 700 feet,bctl4 700ft
57,Check on profile. 2 whites 2 red.,Check on profile 2 whites to red.,check on profile to what is to read,check on profile two whites two reds,check on profile two whites two reds
58,Check. stabilize.,Check. stabilize.,check stabilize,check stabilize,check stabilize
59,"Speedbrakes not up. OK, speedbreaks up.","Speed brakes not up. OK, speed breaks up.",speedbrakes not up ok speedbrakes up,speed brakes not up okay speed brakes up,speedbrakes not up ok speedbrakes up
60,Reversers normal and autobrake disarmed.,Reverse as normal. And auto break.,reverse as normal and auto brake disarmed,reverse as normal and autobrake disarmed,reverse as normal and autobrake disarmed
61,60 knots.,60 knots.,60 knots,60 knots,60 knots
Sample 06,,,,,
1,"Roger, Cap. I have control.","Roger, I have control.",roger cap i have control,roger cap i have control,ok roger cap i have control
2,"Roger, I am ready.","Roger, I am ready.",roger i am ready,roger i am ready,roger i am ready
3,VS check,"Yes, check.",vs check,vs check,vs check
4,"Roger, Captain.","Roger, Captain.",roger captain,roger captain,roger captain
5,"Busan Tower, Singapore 616. Runway in sight. Joining downwind runway 18R.",Busan Towers Singapore 616 runway inside joining downwind runway 1/8 right.,busan tower singapore 616 runway inside joining downwind runway 18r,busan tower singapore 616 runway in sight joining downwind runway 18r,busan tower singapore 616 runway in sight joining downwind runway 18 right
6,Execute Confirm?,Execute confirm,execute confirm,execute confirm,execute confirm
7,Route 2 Activated ,Bluetooth activated.,root 2 activated,root 2 activated,root 2 activated
8,Roger. Direct to AB18R.,"Roger, direct to beam 1/8 right?",roger direct to beam 18r,roger direct to beam 18r,roger direct to beam 18r
9,Execute Confirm?,Execute confirm,execute confirm,execute confirm confirm,execute confirm
10,6000 check,6000 cheque.,6000 check,6000 check,6000 check
11,Flaps 30.,Clap 30.,flaps 30,flaps 30,flaps 30
12,Flaps at 30.,Flaps at 30.,flapset 30,flaps at 30,flaps at 30
13,Speedbrakes.,Speed brakes.,speedbrakes,speed breaks,speedbrakes
14,Flaps.,Flaps.,flips,flaps,flaps
15,30. Green light. Exterior lights.,30 green light.,30 green light exterior lights,30 green light exterior lights,30 green light exterior lights
16,"Obtain 18R, Landing Checklist Complete.",Opting one right. Landing checklist complete.,opting 18r landing checklist complete,opting 18r landing checklist complete,opting 18r landing checklist complete
17,Roger.,Roger.,roger,roger,roger
18,Captain. Supposed to fly in autopilot. Cycling FDs.,E captain is supposed to fly in uh. Cycling FDs.,the captain is supposed to fly in a autopilot,captain is supposed to fly in autopilot,captain is supposed to fly in autopilot
19,"Roger, recycling the FDs.",Roger recycling the FTS.,roger recycling the fts,roger recycling the fts,roger recycling the fts
20,"OK, Ok, Roger, Roger. I have control.","OK, Ok, Roger, Roger. I have control.",ok ok roger roger i have control,okay okay roger roger i have control,ok ok roger roger i have control
21,"Roger, I am ready.","Roger, I am ready.",roger that i m ready,roger i am ready,roger i am ready
22,VS check.,VS check.,vs check,vs check,vs check
23,Roger Captain.,Roger Captain.,roger captain,roger captain,roger captain
24,"Busan Tower, Singapore 616. Runway in sight. Joining downwind runway 18R.",Buzzan Tower Singapore 616 surround way inside joining downwind runway 18 right?,busan tower singapore 616 runway insight joining downwind runway 18r,busan tower singapore 616 runway in sight joining downwind runway 18r,busan tower singapore 616 runway in sight joining downwind runway 18r
25,cleared to join downwind runway 18R.,cleared to join. Don't win? Runaway. Want it right?,to join downwind runway 18r,cleared to join downwind runway 18r,cleared to join downwind runway 18r
26,Alt Hold.,OK.,okay out pull,a out pull,ok alt hold
27,Heading Sel.,Heading SO.,eating show,heading 0,heading sel
28,Roger. Activate Route 2.,"Roger, activate Route 2.",roger activate route 2,roger activate route 2,roger activate route 2
29,Execute confirm?,Execute confirm.,execute confirm,execute confirm,execute confirm
30,OK. Route 2 Activated. LNAV available.,Key route to activated LNEF available.,ok roto activated lnf available,k route 2 activated lnav available,ok route two activated lnav available
31,Roger,Roger,roger,roger,roger
32,Roger Direct to AB18R.,Direct Roger direct to a beam. Want it right?,roger direct to beam 18r,roger direct to beam 18r,roger direct to beam 18r
33,Execute Confirm?,Executive confirm.,execute confirm,execute confirm,execute confirm
34,Direct AB18R.,Direct a beam. Want it right?,direct up you want it right,direct ab18r,direct ab18r
35,6000 feet check.,6000 feet. Check.,6000 feet check,6000 feet check,6000 feet check
36,Flaps 30. ,,let s study,flaps 30,flaps 30
37,Flaps at 30.,Flaps.,flaps at 30,flaps at 30,flaps at 30
38,Landing Gear. Speedbrakes.,Linda Gear. Speed bricks.,end gear speed brakes,end gear speed breaks,ending gear speedbrakes
39,Flaps,Flips.,flips,flaps,flaps
40,30. Green Lights. Exterior Lights.,Are you going to exterior lights?,that is green light x ray lights,30green light exterior lights op,30 green light exterior lights
41,OK. Obtain Runway 18R. Landing checklist complete.,On OK obtain right one way right then each right is complete.,if i ve been wrong we want it right then it is complete,opting runway 18r landing flight is complete,optain runway 18r landing flight is complete
42,Roger,Roger.,oh jeez,roger,roger
43,LNAV,"I'll tell you, I'll never.",help me,cycle,help me cycle
44,Confirm. Recycle FDs.,Confirm recycled.,confirm you re secure after this,confirm recycled fds,confirm recycle fds
45,Roger. Cycling the FDs.,"Hey Roger, cycling the FDS.",hey roger is cycling the fds,hey roger cycling to fd sir,ok roger cycling the fds
46,Cap. We are high.,"OK, Cap, we are high.",tip we are high,okay we are high,ok we are high
47,4 Whites.,For heights. ,for whites,4 heights,4 heights
48,Check. Captain we are high. Go around.,check. Captain will Hi go around.,check captain we are high go around,check captain we are high go around,check captain we are high go around
Sample 07,,,,,
1,"Roger, Captain. Flaps 30. Execute. Confirm."," Roger, Captain Flaps 30. Execute. Confirm.",roger captain flaps 30 execute confirm,roger captain flaps 30 execute confirm,roger captain flaps 30 execute confirm
2,"Roger, I have control.","Roger, I have control.",roger i have control,roger i have control,roger i have control
3,"Roger, I am ready.","Roger, I am ready.",roger i am ready,roger i am ready,roger i am ready
4,VS check.,VS check.,vs check,vs check,vs check
5,I am on route 2 LEGS.,I am on route 2 lakes.,i am on route 2 lakes,i am on route two lakes,i am on route to lakes
6,I am with you on Route 2 LEGS.,I am with you on Route 2 legs.,i am with you on route 2 legs,i am with you on route two legs,i am with you on route two legs
7,"Captain, would you like Control?","Captain, would you like Control?",captain would you like control,captain would you like control,captain would you like control
8,"Busan Tower, Singapore 616 runway in sight.","Busan Tower, Singapore 616 runway in site.",busan tower singapore 616 runway in sight,busan tower singapore 616 runway in sight,busan tower singapore 616 runway in sight
9,Clear to land runway 18R. Singapore 616.,Singapore 616.,cleared to land runway 18r singapore 616,cleared to land runway 18r singapore 616,cleared to land runway 18r singapore 616
10,Alt Hold. ,Outhold.,out hold,out hold,alt hold
11,Heading Sel. Route 2.,Heading Cell. Route 2.,heading cell route 2,aiding cell route 2,heading sel route 2
12,Route 2 activated.,Route 2 activated.,route 2 activated,route 2 activated,route 2 activated
13,Roger. Direct to AB18R.,"Roger direct to EBIM 1/8, right?",roger direct to abim 18r,roger direct to ab18r,roger direct to ab18r
14,Confirm.,Confirm.,confirm,confirm,confirm
15,Confirm.,Confirm.,confirm,confirm,confirm
16,6000 is checked.,6000 is checked.,6000 is checked,6000 is checked,6000 is checked
17,Speed Check. Flaps 30. ,Speak. Check. Flaps dirty.,speed check flaps 30,speed check flaps 30,speed check flaps 30
18,Flaps at 30.,Flaps at 30.,flaps at 30,flaps at 30,flaps at 30
19,Landing checklist below the line. Landing Gear.,The ending checklist below the line.,tending checklist below the line blending gear,tending checklist below the line blending gear,tending checklist below the line blending gear down
20,Down. Speedbrake.,Down speed brake.,down speed brake,down speed break,down speedbrake r
21,Check. 30. Green Light.,Check dirty green light.,check 30 green light,check 30 green light,check 30 green light
22,Landing Clearance.,Landing clearance.,landing clearance,landing clearance,landing clearance
23,Check. Roger.,"Jack, Roger.",check roger,check roger,check roger
24,FDs recycled.,FDS Recycled.,fd is recycled,fd is recycled,fd is recycled
25,"2 Reds, 2 Whites on the PAPI.","Two Reds, 2 whites on the puppy.",two reds two whites on the puppy,2 reds 2 whites on the puppy,2 reds 2 whites on the papi
26,Stabilized. Standby. Disregard. Sorry.,Stabilized. Standby. Disregard. Sorry.,stabilized standby disregard sorry,stabilized standby disregard sorry,stabilized standby disregard sorry
27,"Two Reds, 2 whites on the PAPI, Sir.","Two Reds, 2 whites on the puppy, Sir.",two reds two whites on the puppy sir,two reds two whites on the papi sir,2 reds 2 whites on the papi sir
28,Stabilized.,Stabilized.,stabilized,stabilized,stabilized
29,"Roger, I have control.","Roger, I have control.",roger i have control,roger i have control,roger i have control
30,"Roger, I am ready.","Roger, I am ready.",roger i am ready,roger i am ready,roger i am ready
31,VS check.,VS check.,vs check,vs check,vs check
32,Route 2 LEGS.,Route 2 lakes.,route 2 links,route to lakes,route to lakes
33,Busan Tower Singapore 616 runway in sight. Joining downwind runway 18R.,Busan Tower Singapore 616 runway inside Jordan downwind runway 1/8 right.,busan tower singapore 616 runway inside joining downwind runway 18r,busan tower singapore 616 runway in sight joining downwind runway 18r,busan tower singapore 616 runway in sight joining downwind runway 18 right
34,Clear to land runway 18R. Singapore 616.,"Cleared land runway 1/8, right. Singapore 6/16.",cleared to land runway 18r singapore 616,cleared to land runway 18r singapore 616,cleared to land runway 18r singapore 616
35,Heading Sel. Alt Hold. ,Betting sell out whole.,heading cell outhaul,heading cell auteuil,heading sel alt hold
36,Activating Route 2,Activating Route 2.,activating route 2,activating route 2,activating route 2
37,Confirm.,Confirm.,confirm confirm,confirm,confirm
38,Execute.,Execute.,execute,execute,execute
39,Route 2 activated.,Route 2 activated.,root to activated,route 2 activated,route 2 activated
40,Direct to AB18R.,Direct to a beam.,direct to a beam 1a ride,direct to ab18r,direct to ab18r
41,Confirm.,Confirm.,confirm,confirm,confirm
42,Direct AB18R.,Direct a beam 1/8 right.,direct a beam 18 right,direct ab18r,direct ab18r
43,Check.,Check.,check,check,check
44,Flaps 30.,Flaps 30.,flaps 30,flaps 30,flaps 30
45,Cap. LNAV is available.,Caplanv is available.,caplnav is available,cap lnav is available,cap alnaff is available
46,Landing checklist below the line. Landing Gear.,I didn't check this build align landing gear.,i didn t check this below the line landing gear,alline checklist below the line landing gear,alim checklist below the line landing gear
47,Down. Speedbrakes.,Down speed.,down speed brakes,down speed breaks,down speedbrakes
48,Flaps.,Flaps.,flaps,flaps,flaps
49,VS 700 is checked.,VS 700 is checked.,vs 700 is checked,vs 700 is checked,vs 700 is checked
50,On. Landing clearance.,On. Lending clearance.,on landing clearance,on landing clearance,on landing clearance
51,Flight directors.,Flight directors.,flight directors,flight directors,flight directors
