utt_id,prev_wer,next_wer,delta_wer,comparison,ref,prev_text,next_text
04-10,0.0,0.6666666666666666,0.6666666666666666,Worsen,6000 feet checked.,6000 feet checked.,6 000 feet checked
04-11,0.25,0.0,-0.25,Improvement,Speed check. Flaps 30.,Speed check. Flap 30.,speed check flaps 30
04-12,1.0,0.0,-1.0,Improvement,Flaps at 30,Put up set 30.,flaps at 30
04-13,0.25,0.0,-0.25,Improvement,Roger landing checklist below the line. landing gear.,Roger lending checklist below the line lending gear.,roger landing checklist below the line landing gear
04-14,2.0,2.0,0.0,Same,Speedbrake.,Speed brake.,speed break
04-15,2.0,2.0,0.0,Same,Speedbrake.,Speed brake.,speed break
04-16,0.0,0.0,0.0,Same,Flaps.,Flaps.,flaps
04-17,0.0,0.2857142857142857,0.2857142857142857,Worsen,30 green lights Exterior lights are on.,30 green lights Exterior lights are on.,30 green lights x zero lights are on
04-18,0.6,0.4,-0.19999999999999996,Improvement,Check. Obtain Runway 18R Land.,Check. Runway 18 Ritalin. Land.,check obtained runway 18r lens
04-19,0.0,0.0,0.0,Same,1000 stabilized.,1000 stabilized.,1000 stabilized
04-20,0.0,0.0,0.0,Same,500 feet stabilized.,500 feet stabilized.,500 feet stabilized
04-21,0.0,0.0,0.0,Same,Captain,Captain.,captain
04-22,0.0,0.0,0.0,Same,"Roger, I have control.","Roger, I have control.",roger i have control
04-23,0.0,0.0,0.0,Same,"Roger, I am ready.","Roger, I am ready.",roger i am ready
04-24,0.0,0.0,0.0,Same,Check VS check.,Check VS check.,check vs check
04-25,0.45454545454545453,0.0,-0.45454545454545453,Improvement,"Busan Tower Singapore 616 runway in sight, joining downwind runway 18R.",Busan Tower Singapore 616 runway Insight joining downwind runway 1/8 right?,busan tower singapore 616 runway in sight joining downwind runway 18r
04-26,0.42857142857142855,0.14285714285714285,-0.2857142857142857,Improvement,Clear to land Runway 18R. Singapore 616.,"Clear to land runway 1/8 right, Singapore 616.",cleared to land runway 18r singapore 616
04-27,0.5,0.5,0.0,Same,Alt Hold.,Out hold.,out hold
04-28,0.0,0.0,0.0,Same,Confirm.,Confirm.,confirm
04-29,0.0,0.0,0.0,Same,Route 2 Activated.,Route 2 activated.,route 2 activated
04-30,0.0,0.0,0.0,Same,Confirm.,Confirm.,confirm
04-31,0.0,0.0,0.0,Same,6000 feet checked.,6000 feet checked.,6000 feet checked
04-32,0.5,0.25,-0.25,Improvement,Speed check. Flap 30.,Speed check.,speed check flaps 30
04-33,0.0,0.0,0.0,Same,A Landing checklist below the line.,A landing checklist below the line.,a landing checklist below the line
04-34,2.0,2.0,0.0,Same,Speedbrake.,Speed brake.,speed break
04-35,0.2,0.2,0.0,Same,MCP Speed. Heading Sel. VS.,MCP Speed heading cell VS.,mcp speed heading cell vs
04-36,0.0,0.0,0.0,Same,Flaps.,Flaps.,flaps
04-37,0.125,0.125,0.0,Same,And exterior lights are on. And landing clearance.,And exterior lights are on. And lending clearance.,and exterior lights are on landing clearance
04-38,1.0,0.16666666666666666,-0.8333333333333334,Improvement,Obtain runway 18R. Landing checklist complete.,Obtain runway 1/8 right lending check is complete.,obtained runway 18r landing checklist complete
04-39,0.0,0.0,0.0,Same,4 whites,4 whites.,4 whites
04-40,0.25,0.0,-0.25,Improvement,"2 Reds, 2 whites.","Two Reds, 2 whites.",2 reds 2 whites
04-41,0.0,0.0,0.0,Same,Stabilized.,Stabilized.,stabilized
04-42,0.75,0.75,0.0,Same,Low speed. Speedbrake up.,"Low speed, uh, speed breaks up.",no speed speed breaks up
04-43,0.5,0.75,0.25,Worsen,Reversers normal. Autobrake Disarm.,"Reverse normal. Otterbeck, Disarm.",reverse normal auto brake disarm
04-44,0.5,1.0,0.5,Worsen,60 knots.,60 oughts.,16 odds
05-01,0.0,0.0,0.0,Same,"Roger, I have control.","Roger, I have control.",roger i have control
05-02,0.0,0.0,0.0,Same,"Roger, I am ready.","Roger, I am ready.",roger i am ready
05-03,0.2,0.2,0.0,Same,You have control. VS check,You have control of. VS check.,you have control of vs check
05-04,0.0,0.0,0.0,Same,"Roger, Captain.","Roger, Captain.",roger captain
05-05,0.2,0.0,-0.2,Improvement,Tailwind is pretty strong. 10 knots later during the circling.,Take Witness. Pretty strong. 10 knots later during the circling.,tailwind is pretty strong 10 knots later during the circling
05-06,0.0,0.0,0.0,Same,1000 to go.,1000 to go.,1000 to go
05-07,0.5714285714285714,0.0,-0.5714285714285714,Improvement,"Busan Tower, Singapore 616. Runway in sight.","Busan Tower, Singapore, 6/16. Runway-insight.",busan tower singapore 616 runway in sight
05-08,0.0,0.0,0.0,Same,"Say again, Singapore 8616.","Say again, Singapore, 8616.",say again singapore 8616
05-09,0.0,0.0,0.0,Same,"Busan Tower, Singapore 616.","Busan Tower, Singapore, 616.",busan tower singapore 616
05-10,0.7142857142857143,0.14285714285714285,-0.5714285714285714,Improvement,Visual Runway 18R. Joining downwind Runway 18R,"Visual Runway 1/8, right? Joining downwind. R18 right.",visual runway 18r joining danwin runway 18r
05-11,1.0,0.5,-0.5,Improvement,Thousand Seven. Alt Hold. ,1007. Alhol.,2007 alt hold
05-12,0.0,0.0,0.0,Same,Execute Confirm. Execute. ,"Execute, confirm, execute.",execute confirm execute
05-13,0.6666666666666666,0.0,-0.6666666666666666,Improvement,Route 2 Activated ,Bluetooth activated.,route 2 activated
05-14,0.0,0.0,0.0,Same,Execute Confirm?,Execute confirm.,execute confirm
05-15,0.0,0.0,0.0,Same,Confirm.,Confirm.,confirm
05-16,0.5,0.0,-0.5,Improvement,LNAV Available,Are available.,lnav available
05-17,0.0,0.0,0.0,Same,6000 feet check,6000 feet check,6000 feet check
05-18,0.5,0.0,-0.5,Improvement,Flaps 30.,Flights 30.,flaps 30
05-19,0.0,0.3333333333333333,0.3333333333333333,Worsen,VS -700 checked.,VS -700 checked.,vs minus 700 checked
05-20,0.0,0.0,0.0,Same,Roger Landing checklist. Altimeters.,Roger Landing checklist. Altimeters.,roger landing checklist altimeters
05-21,0.0,0.0,0.0,Same,Altimeters.,Altimeters.,altimeters
05-22,0.6666666666666666,0.0,-0.6666666666666666,Improvement,All below the line. Landing gear.,I'll be loading landing gear.,all below the line landing gear
05-23,0.5,0.5,0.0,Same,And down down speedbrakes.,And down down speed brakes.,and down down speed breaks
05-24,0.0,0.0,0.0,Same,Flaps.,Flaps.,flaps
05-25,0.3333333333333333,0.0,-0.3333333333333333,Improvement,30. Green light. ,Dirty green light.,30 green light
05-26,1.4,0.6,-0.7999999999999999,Improvement,Landing Clearence. Obtain Runway 18R. ,On Lenkira's obtained runway 1 and right.,landing clearance obtained runway 18r landing
05-27,0.0,0.0,0.0,Same,Check,Check.,check
05-28,0.0,0.0,0.0,Same,Roger,Roger,roger
05-29,0.0,0.0,0.0,Same,Altitude 700.,Altitude 700.,altitude 700
05-30,0.0,0.0,0.0,Same,Target,Target.,target
05-31,0.0,0.0,0.0,Same,450,450,450
05-32,0.0,0.25,0.25,Worsen,Different Runway. This is. ,different runway. This is,different runway this is one
05-33,1.0,0.0,-1.0,Improvement,"Go around, ","Go a round, ",go around
05-34,0.0,0.25,0.25,Worsen,Roger I'm Ready.,"Roger, I'm ready.",roger i am ready
05-35,0.0,0.0,0.0,Same,VS check. You have control.,VS check you have control.,vs check you have control
05-36,0.0,0.0,0.0,Same,Roger Captain.,Roger Captain.,roger captain
05-37,0.0,0.6666666666666666,0.6666666666666666,Worsen,1000 to go.,1000 to go.,touch and to go
05-38,0.2857142857142857,0.2857142857142857,0.0,Same,"Busan Tower, Singapore 616. Runway in sight,",Busan Tower Singapore 616 runway inside.,busan tower singapore 616 runway inside
05-39,1.0,0.0,-1.0,Improvement,Alt Hold.,Alcohol.,alt hold
05-40,0.375,0.375,0.0,Same,Heading Sel. Alt Hold. Roger. Activate Route 2.,"Heading South, I'll hold. Roger. Activate Route 2.",heading south i ll hold roger activate route 2
05-41,0.0,0.0,0.0,Same,Execute Confirm,Execute confirm.,execute confirm
05-42,0.6666666666666666,0.0,-0.6666666666666666,Improvement,Route 2 Activated ,roto activated.,route 2 activated
05-43,0.0,0.0,0.0,Same,Roger.,Roger.,roger
05-44,0.0,0.0,0.0,Same,Execute Confirm.,Execute confirm.,execute confirm
05-45,0.0,0.0,0.0,Same,6000 checked.,6000 checked.,6000 checked
05-46,0.5,0.0,-0.5,Improvement,Flaps 30.,Flap 30.,flaps 30
05-47,0.0,0.0,0.0,Same,Flaps at 30.,Flaps at 30.,flaps at 30
05-48,0.2857142857142857,0.14285714285714285,-0.14285714285714285,Improvement,Landing checklist below the line. Landing gear.,Anicheva is below the line. Landing gear.,landing surface below the line landing gear
05-49,1.0,1.0,0.0,Same,Down speedbreaks.,Down speed brakes.,down speed breaks
05-50,0.6666666666666666,0.5,-0.16666666666666663,Improvement,VS -700 check. Speedbreaks armed. Flaps.,Yes -700 check. Speedwag's arms flaps.,ves minus 700 check speedbrakes armed flaps
05-51,0.0,0.0,0.0,Same,30. green light. exterior lights On.,30 green light exterior lights On,30 green light exterior lights on
05-52,0.0,0.0,0.0,Same,Roger.,Roger,roger
05-53,0.6,0.0,-0.6,Improvement,BCTL2 1200. We are high.,Miss TL 2. 1200. We are high.,bctl2 1200 we are high
05-54,0.4,0.0,-0.4,Improvement,BCTL3. Target is 950 feet.,BCTL 3. Target is 950 feet.,bctl3 target is 950 feet
05-55,0.6666666666666666,1.0,0.33333333333333337,Worsen,1000 feet check.,Pause and check.,as in feed check
05-56,1.0,0.0,-1.0,Improvement,BCTL4 700 feet.,BCT of four 700 feet.,bctl4 700 feet
05-57,0.14285714285714285,0.42857142857142855,0.2857142857142857,Worsen,Check on profile. 2 whites 2 red.,Check on profile 2 whites to red.,check on profile two whites two reds
05-58,0.0,0.0,0.0,Same,Check. stabilize.,Check. stabilize.,check stabilize
05-59,0.6666666666666666,0.8333333333333334,0.16666666666666674,Worsen,"Speedbrakes not up. OK, speedbreaks up.","Speed brakes not up. OK, speed breaks up.",speed brakes not up okay speed brakes up
05-60,0.8,0.4,-0.4,Improvement,Reversers normal and autobrake disarmed.,Reverse as normal. And auto break.,reverse as normal and autobrake disarmed
05-61,0.0,0.0,0.0,Same,60 knots.,60 knots.,60 knots
06-01,0.2,0.0,-0.2,Improvement,"Roger, Cap. I have control.","Roger, I have control.",roger cap i have control
06-02,0.0,0.0,0.0,Same,"Roger, I am ready.","Roger, I am ready.",roger i am ready
06-03,0.5,0.0,-0.5,Improvement,VS check,"Yes, check.",vs check
06-04,0.0,0.0,0.0,Same,"Roger, Captain.","Roger, Captain.",roger captain
06-05,0.5454545454545454,0.0,-0.5454545454545454,Improvement,"Busan Tower, Singapore 616. Runway in sight. Joining downwind runway 18R.",Busan Towers Singapore 616 runway inside joining downwind runway 1/8 right.,busan tower singapore 616 runway in sight joining downwind runway 18r
06-06,0.0,0.0,0.0,Same,Execute Confirm?,Execute confirm,execute confirm
06-07,0.6666666666666666,0.3333333333333333,-0.3333333333333333,Improvement,Route 2 Activated ,Bluetooth activated.,root 2 activated
06-08,1.0,0.5,-0.5,Improvement,Roger. Direct to AB18R.,"Roger, direct to beam 1/8 right?",roger direct to beam 18r
06-09,0.0,0.5,0.5,Worsen,Execute Confirm?,Execute confirm,execute confirm confirm
06-10,0.5,0.0,-0.5,Improvement,6000 check,6000 cheque.,6000 check
06-11,0.5,0.0,-0.5,Improvement,Flaps 30.,Clap 30.,flaps 30
06-12,0.0,0.0,0.0,Same,Flaps at 30.,Flaps at 30.,flaps at 30
06-13,2.0,2.0,0.0,Same,Speedbrakes.,Speed brakes.,speed breaks
06-14,0.0,0.0,0.0,Same,Flaps.,Flaps.,flaps
06-15,0.4,0.0,-0.4,Improvement,30. Green light. Exterior lights.,30 green light.,30 green light exterior lights
06-16,0.6,0.2,-0.39999999999999997,Improvement,"Obtain 18R, Landing Checklist Complete.",Opting one right. Landing checklist complete.,opting 18r landing checklist complete
06-17,0.0,0.0,0.0,Same,Roger.,Roger.,roger
06-18,0.375,0.375,0.0,Same,Captain. Supposed to fly in autopilot. Cycling FDs.,E captain is supposed to fly in uh. Cycling FDs.,captain is supposed to fly in autopilot
06-19,0.25,0.25,0.0,Same,"Roger, recycling the FDs.",Roger recycling the FTS.,roger recycling the fts
06-20,0.0,0.2857142857142857,0.2857142857142857,Worsen,"OK, Ok, Roger, Roger. I have control.","OK, Ok, Roger, Roger. I have control.",okay okay roger roger i have control
06-21,0.0,0.0,0.0,Same,"Roger, I am ready.","Roger, I am ready.",roger i am ready
06-22,0.0,0.0,0.0,Same,VS check.,VS check.,vs check
06-23,0.0,0.0,0.0,Same,Roger Captain.,Roger Captain.,roger captain
06-24,0.5454545454545454,0.0,-0.5454545454545454,Improvement,"Busan Tower, Singapore 616. Runway in sight. Joining downwind runway 18R.",Buzzan Tower Singapore 616 surround way inside joining downwind runway 18 right?,busan tower singapore 616 runway in sight joining downwind runway 18r
06-25,1.1666666666666667,0.0,-1.1666666666666667,Improvement,cleared to join downwind runway 18R.,cleared to join. Don't win? Runaway. Want it right?,cleared to join downwind runway 18r
06-26,1.0,1.5,0.5,Worsen,Alt Hold.,OK.,a out pull
06-27,0.5,0.5,0.0,Same,Heading Sel.,Heading SO.,heading 0
06-28,0.0,0.0,0.0,Same,Roger. Activate Route 2.,"Roger, activate Route 2.",roger activate route 2
06-29,0.0,0.0,0.0,Same,Execute confirm?,Execute confirm.,execute confirm
06-30,0.5,0.16666666666666666,-0.33333333333333337,Improvement,OK. Route 2 Activated. LNAV available.,Key route to activated LNEF available.,k route 2 activated lnav available
06-31,0.0,0.0,0.0,Same,Roger,Roger,roger
06-32,1.5,0.5,-1.0,Improvement,Roger Direct to AB18R.,Direct Roger direct to a beam. Want it right?,roger direct to beam 18r
06-33,0.5,0.0,-0.5,Improvement,Execute Confirm?,Executive confirm.,execute confirm
06-34,2.5,0.0,-2.5,Improvement,Direct AB18R.,Direct a beam. Want it right?,direct ab18r
06-35,0.0,0.0,0.0,Same,6000 feet check.,6000 feet. Check.,6000 feet check
06-36,1.0,0.0,-1.0,Improvement,Flaps 30. ,,flaps 30
06-37,0.6666666666666666,0.0,-0.6666666666666666,Improvement,Flaps at 30.,Flaps.,flaps at 30
06-38,1.0,1.0,0.0,Same,Landing Gear. Speedbrakes.,Linda Gear. Speed bricks.,end gear speed breaks
06-39,1.0,0.0,-1.0,Improvement,Flaps,Flips.,flaps
06-40,0.8,0.8,0.0,Same,30. Green Lights. Exterior Lights.,Are you going to exterior lights?,30green light exterior lights op
06-41,1.2857142857142858,0.5714285714285714,-0.7142857142857144,Improvement,OK. Obtain Runway 18R. Landing checklist complete.,On OK obtain right one way right then each right is complete.,opting runway 18r landing flight is complete
06-42,0.0,0.0,0.0,Same,Roger,Roger.,roger
06-43,7.0,1.0,-6.0,Improvement,LNAV,"I'll tell you, I'll never.",cycle
06-44,0.6666666666666666,0.3333333333333333,-0.3333333333333333,Improvement,Confirm. Recycle FDs.,Confirm recycled.,confirm recycled fds
06-45,0.25,1.0,0.75,Worsen,Roger. Cycling the FDs.,"Hey Roger, cycling the FDS.",hey roger cycling to fd sir
06-46,0.25,0.25,0.0,Same,Cap. We are high.,"OK, Cap, we are high.",okay we are high
06-47,1.0,0.5,-0.5,Improvement,4 Whites.,For heights. ,4 heights
06-48,0.42857142857142855,0.0,-0.42857142857142855,Improvement,Check. Captain we are high. Go around.,check. Captain will Hi go around.,check captain we are high go around
07-01,0.0,0.0,0.0,Same,"Roger, Captain. Flaps 30. Execute. Confirm."," Roger, Captain Flaps 30. Execute. Confirm.",roger captain flaps 30 execute confirm
07-02,0.0,0.0,0.0,Same,"Roger, I have control.","Roger, I have control.",roger i have control
07-03,0.0,0.0,0.0,Same,"Roger, I am ready.","Roger, I am ready.",roger i am ready
07-04,0.0,0.0,0.0,Same,VS check.,VS check.,vs check
07-05,0.16666666666666666,0.3333333333333333,0.16666666666666666,Worsen,I am on route 2 LEGS.,I am on route 2 lakes.,i am on route two lakes
07-06,0.0,0.125,0.125,Worsen,I am with you on Route 2 LEGS.,I am with you on Route 2 legs.,i am with you on route two legs
07-07,0.0,0.0,0.0,Same,"Captain, would you like Control?","Captain, would you like Control?",captain would you like control
07-08,0.14285714285714285,0.0,-0.14285714285714285,Improvement,"Busan Tower, Singapore 616 runway in sight.","Busan Tower, Singapore 616 runway in site.",busan tower singapore 616 runway in sight
07-09,0.7142857142857143,0.14285714285714285,-0.5714285714285714,Improvement,Clear to land runway 18R. Singapore 616.,Singapore 616.,cleared to land runway 18r singapore 616
07-10,1.0,0.5,-0.5,Improvement,Alt Hold. ,Outhold.,out hold
07-11,0.25,0.5,0.25,Worsen,Heading Sel. Route 2.,Heading Cell. Route 2.,aiding cell route 2
07-12,0.0,0.0,0.0,Same,Route 2 activated.,Route 2 activated.,route 2 activated
07-13,1.0,0.0,-1.0,Improvement,Roger. Direct to AB18R.,"Roger direct to EBIM 1/8, right?",roger direct to ab18r
07-14,0.0,0.0,0.0,Same,Confirm.,Confirm.,confirm
07-15,0.0,0.0,0.0,Same,Confirm.,Confirm.,confirm
07-16,0.0,0.0,0.0,Same,6000 is checked.,6000 is checked.,6000 is checked
07-17,0.5,0.0,-0.5,Improvement,Speed Check. Flaps 30. ,Speak. Check. Flaps dirty.,speed check flaps 30
07-18,0.0,0.0,0.0,Same,Flaps at 30.,Flaps at 30.,flaps at 30
07-19,0.5714285714285714,0.2857142857142857,-0.2857142857142857,Improvement,Landing checklist below the line. Landing Gear.,The ending checklist below the line.,tending checklist below the line blending gear
07-20,1.0,1.0,0.0,Same,Down. Speedbrake.,Down speed brake.,down speed break
07-21,0.25,0.0,-0.25,Improvement,Check. 30. Green Light.,Check dirty green light.,check 30 green light
07-22,0.0,0.0,0.0,Same,Landing Clearance.,Landing clearance.,landing clearance
07-23,0.5,0.0,-0.5,Improvement,Check. Roger.,"Jack, Roger.",check roger
07-24,0.0,1.0,1.0,Worsen,FDs recycled.,FDS Recycled.,fd is recycled
07-25,0.2857142857142857,0.14285714285714285,-0.14285714285714285,Improvement,"2 Reds, 2 Whites on the PAPI.","Two Reds, 2 whites on the puppy.",2 reds 2 whites on the puppy
07-26,0.0,0.0,0.0,Same,Stabilized. Standby. Disregard. Sorry.,Stabilized. Standby. Disregard. Sorry.,stabilized standby disregard sorry
07-27,0.125,0.125,0.0,Same,"Two Reds, 2 whites on the PAPI, Sir.","Two Reds, 2 whites on the puppy, Sir.",two reds two whites on the papi sir
07-28,0.0,0.0,0.0,Same,Stabilized.,Stabilized.,stabilized
07-29,0.0,0.0,0.0,Same,"Roger, I have control.","Roger, I have control.",roger i have control
07-30,0.0,0.0,0.0,Same,"Roger, I am ready.","Roger, I am ready.",roger i am ready
07-31,0.0,0.0,0.0,Same,VS check.,VS check.,vs check
07-32,0.3333333333333333,0.6666666666666666,0.3333333333333333,Worsen,Route 2 LEGS.,Route 2 lakes.,route to lakes
07-33,0.5454545454545454,0.0,-0.5454545454545454,Improvement,Busan Tower Singapore 616 runway in sight. Joining downwind runway 18R.,Busan Tower Singapore 616 runway inside Jordan downwind runway 1/8 right.,busan tower singapore 616 runway in sight joining downwind runway 18r
07-34,1.0,0.14285714285714285,-0.8571428571428572,Improvement,Clear to land runway 18R. Singapore 616.,"Cleared land runway 1/8, right. Singapore 6/16.",cleared to land runway 18r singapore 616
07-35,1.0,0.75,-0.25,Improvement,Heading Sel. Alt Hold. ,Betting sell out whole.,heading cell auteuil
